audio_filepath,duration,text,gender,age-group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain
audio/281474976895472_f74_chunk_0.wav,0.098,Up,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976899770_f1412_chunk_0.wav,0.126625,Skip,Female,30-45,Odia,Odisha,Cuttack,Graduate,Other,Healthcare (Medical &amp; Pharma)
audio/281474976903881_f1632_chunk_0.wav,0.1353125,Up,Female,45-60,Nepali,Assam,Kamrup,Graduate,Full Time,Education and Research
audio/281474976895472_f2996_chunk_0.wav,0.1564375,Up,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976899939_f968_chunk_0.wav,0.15875,Skip,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976925712_f2835_chunk_0.wav,0.1640625,Cat,Female,18-30,Dogri,Jammu Kashmir,Jammu,Graduate,Other,Education and Research
audio/281474976897633_f276_chunk_0.wav,0.173625,Off,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976893705_f2553_chunk_0.wav,0.1870625,Skip,Male,18-30,Bodo,Assam,Kokrajhar,Post Graduate,Part Time,Education and Research
audio/281474976925484_f2703_chunk_0.wav,0.187375,Up,Female,18-30,Kannada,Karnataka,Gulbarga,Senior Secondary Level at School (10+2),Other,Education and Research
audio/281474976899764_f1405_chunk_0.wav,0.193375,Off,Female,30-45,Odia,Odisha,Cuttack,Graduate,Other,Healthcare (Medical &amp; Pharma)
audio/281474976897497_f143_chunk_0.wav,0.19425,Jump,Male,30-45,Sindhi,Rajasthan,Ajmer,Post Graduate,Part Time,Government
audio/281474976893402_f334_chunk_0.wav,0.1993125,Go,Female,30-45,Kannada,Karnataka,Gulbarga,Post Graduate,Full Time,Technology and Services
audio/281474976899764_f2324_chunk_0.wav,0.20475,Off,Female,30-45,Odia,Odisha,Cuttack,Graduate,Other,Healthcare (Medical &amp; Pharma)
audio/281474976896215_f2515_chunk_0.wav,0.206625,Up,Female,18-30,Tamil,Kerala,Thiruvananthapuram,Under Graduate Student,Full Time,Technology and Services
audio/281474976893979_f2526_chunk_0.wav,0.20875,Up,Female,45-60,Telugu,Andhra Pradesh,Kurnool,Post Graduate,Full Time,Technology and Services
audio/281474976895243_f649_chunk_0.wav,0.2104375,Up,Female,45-60,Dogri,Jammu Kashmir,Jammu,Doctoral (PhD) or higher level,Other,Education and Research
audio/281474976903215_f1347_chunk_0.wav,0.2128125,Up,Female,45-60,Tamil,Tamil Nadu,Chennai,Post Graduate,Full Time,Technology and Services
audio/281474976895467_f5_chunk_0.wav,0.214125,Play,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976899955_f6_chunk_0.wav,0.21475,Up,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976897634_f275_chunk_0.wav,0.2164375,Help,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976901592_f1179_chunk_0.wav,0.216625,skip,Female,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Freelance,Information and Media
audio/281474976885769_f1327_chunk_1.wav,0.21775,on,Female,30-45,Kannada,Karnataka,Gulbarga,Post Graduate,Full Time,Technology and Services
audio/281474976895475_f240_chunk_0.wav,0.2210625,Left,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976899779_f1409_chunk_0.wav,0.2229375,Yes,Female,30-45,Odia,Odisha,Cuttack,Graduate,Other,Healthcare (Medical &amp; Pharma)
audio/281474976897640_f118_chunk_0.wav,0.225125,No,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976894911_f749_chunk_0.wav,0.2255625,Two,Female,30-45,Malayalam,Kerala,Pathanamthitta,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976899760_f1408_chunk_0.wav,0.225875,Up,Female,30-45,Odia,Odisha,Cuttack,Graduate,Other,Healthcare (Medical &amp; Pharma)
audio/281474976897091_f2875_chunk_0.wav,0.227875,Three,Male,18-30,Hindi,Maharashtra,Pune,Under Graduate Student,Freelance,Financial Services (Banking and Insurance)
audio/281474976895184_f1359_chunk_0.wav,0.2296875,Up,Male,18-30,Malayalam,Kerala,Malappuram,Graduate,Full Time,Technology and Services
audio/281474976901139_f984_chunk_0.wav,0.2315,Four,Female,45-60,Maithili,Bihar,Darbhanga,Graduate,Full Time,Education and Research
audio/281474976903218_f1184_chunk_0.wav,0.2315625,Two,Female,45-60,Tamil,Tamil Nadu,Chennai,Post Graduate,Full Time,Technology and Services
audio/281474976902167_f389_chunk_0.wav,0.2343125,Up,Female,45-60,Urdu,Maharashtra,Satara,Post Graduate,Full Time,Education and Research
audio/281474976894921_f434_chunk_0.wav,0.23475,Play,Female,30-45,Malayalam,Kerala,Pathanamthitta,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976896579_f1493_chunk_0.wav,0.234875,Up,Female,60+,Tamil,Madhya Pradesh,Ujjain,Post Graduate,Full Time,Education and Research
audio/281474976899497_f2611_chunk_0.wav,0.239,Up,Female,30-45,Tamil,Tamil Nadu,Chennai,Graduate,Freelance,Education and Research
audio/281474976898601_f322_chunk_0.wav,0.2396875,Skip,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976898600_f323_chunk_0.wav,0.2414375,Off,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897635_f969_chunk_0.wav,0.243,Play,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976894915_f435_chunk_0.wav,0.2438125,Cat,Female,30-45,Malayalam,Kerala,Pathanamthitta,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897639_f1023_chunk_0.wav,0.245125,Down,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976898590_f897_chunk_0.wav,0.2466875,Six,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897102_f2877_chunk_0.wav,0.2490625,Stop,Male,18-30,Hindi,Maharashtra,Pune,Under Graduate Student,Freelance,Financial Services (Banking and Insurance)
audio/281474976896574_f1497_chunk_0.wav,0.2516875,Two,Female,60+,Tamil,Madhya Pradesh,Ujjain,Post Graduate,Full Time,Education and Research
audio/281474976897881_f1663_chunk_0.wav,0.255375,Two,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976901785_f2674_chunk_0.wav,0.2583125,Eight,Female,30-45,Assamese,Assam,Biswanath,Doctoral (PhD) or higher level,Full Time,Information and Media
audio/281474976899939_f2810_chunk_0.wav,0.2590625,Skip,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976900322_f311_chunk_0.wav,0.259875,No,Male,45-60,Kashmiri,Jammu Kashmir,Srinagar,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976899548_f2425_chunk_0.wav,0.2619375,Dog,Female,45-60,Bengali,West Bengal,South 24 Parganas,Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976893655_f797_chunk_0.wav,0.2625625,Tree,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
audio/281474976899564_f2428_chunk_0.wav,0.2633125,House,Female,45-60,Bengali,West Bengal,South 24 Parganas,Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897510_f333_chunk_0.wav,0.26575,House,Male,30-45,Sindhi,Rajasthan,Ajmer,Post Graduate,Part Time,Government
audio/281474976896575_f1496_chunk_0.wav,0.268375,Play,Female,60+,Tamil,Madhya Pradesh,Ujjain,Post Graduate,Full Time,Education and Research
audio/281474976893652_f544_chunk_0.wav,0.270125,Play,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
audio/281474976900312_f931_chunk_0.wav,0.271125,Up,Male,45-60,Kashmiri,Jammu Kashmir,Srinagar,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976893617_f1433_chunk_0.wav,0.271375,Three,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
audio/281474976893405_f908_chunk_0.wav,0.27175,Play,Female,30-45,Kannada,Karnataka,Gulbarga,Post Graduate,Full Time,Technology and Services
audio/281474976895480_f2818_chunk_0.wav,0.272,Jump,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976896060_f952_chunk_0.wav,0.2725625,Jump,Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
audio/281474976899554_f462_chunk_0.wav,0.272625,Jump,Female,45-60,Bengali,West Bengal,South 24 Parganas,Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976893618_f1426_chunk_0.wav,0.272625,Dog,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
audio/281474976894812_f1306_chunk_0.wav,0.2736875,Play,Female,18-30,Malayalam,Kerala,Pathanamthitta,Post Graduate,Full Time,Technology and Services
audio/281474976893400_f226_chunk_0.wav,0.275625,Three,Female,30-45,Kannada,Karnataka,Gulbarga,Post Graduate,Full Time,Technology and Services
audio/281474976895608_f227_chunk_0.wav,0.2770625,Play,Male,18-30,Kannada,Karnataka,Bangalore Urban,Graduate,Part Time,Information and Media
audio/281474976893662_f282_chunk_0.wav,0.2774375,Right,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
audio/281474976894922_f222_chunk_0.wav,0.2785625,Right,Female,30-45,Malayalam,Kerala,Pathanamthitta,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976894814_f1303_chunk_0.wav,0.279375,Cat,Female,18-30,Malayalam,Kerala,Pathanamthitta,Post Graduate,Full Time,Technology and Services
audio/281474976897093_f2726_chunk_0.wav,0.280375,Eight,Male,18-30,Hindi,Maharashtra,Pune,Under Graduate Student,Freelance,Financial Services (Banking and Insurance)
audio/281474976897881_f2628_chunk_0.wav,0.281625,Two,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976899561_f807_chunk_0.wav,0.281625,Eight,Female,45-60,Bengali,West Bengal,South 24 Parganas,Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897629_f971_chunk_0.wav,0.2826875,House,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976898106_f1466_chunk_0.wav,0.2850625,Right,Female,18-30,Odia,Odisha,Khordha,Post Graduate,Full Time,Transportation and Logistics
audio/281474976898114_f1471_chunk_0.wav,0.2853125,Eight,Female,18-30,Odia,Odisha,Khordha,Post Graduate,Full Time,Transportation and Logistics
audio/281474976897505_f906_chunk_0.wav,0.285875,Go,Male,30-45,Sindhi,Rajasthan,Ajmer,Post Graduate,Part Time,Government
audio/281474976895596_f228_chunk_0.wav,0.2865625,Two,Male,18-30,Kannada,Karnataka,Bangalore Urban,Graduate,Part Time,Information and Media
audio/281474976903218_f2347_chunk_0.wav,0.2866875,Two,Female,45-60,Tamil,Tamil Nadu,Chennai,Post Graduate,Full Time,Technology and Services
audio/281474976897499_f674_chunk_0.wav,0.287,Down,Male,30-45,Sindhi,Rajasthan,Ajmer,Post Graduate,Part Time,Government
